name,description,price,category,image_url,tags,age_min,age_max,capacity
18 Ft Caution Wet Slide,"Ideal for summer events, the 18 Ft Caution Wet Slide offers thrilling, safe fun while complying with TSSA safety standards.",575,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/cautionslide.webp,slide;inflatable;kids;birthday;backyard;public-event-ready;tssa;wet;summer;construction;popular,4.0,,
Jurassic Double Slide,"Ideal for adventurous events, the Jurassic Double Slide offers thrilling wet-dry fun, featuring TSSA-compliant safety measures for worry-free enjoyment.",550,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/jurassicobstacle1-1770670314653.webp,slide;inflatable;kids;birthday;backyard;public-event-ready;tssa;wet;dry;dual-lane;dinosaur;popular,,,
The Accelerator,"Ideal for events, The Accelerator offers exciting, safe sliding fun for all ages, TSSA certified for peace of mind.",840,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/accelerator.webp,slide;inflatable;kids;birthday;backyard;public-event-ready;tssa;construction;popular,4.0,,2.0
Tiger Slide,"""Ideal for events, this thrilling Tiger Slide promises safe, dry fun for all ages. TSSA certified, ensuring top-notch compliance and enjoyment.""",795,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/bounce-house/tiger.webp,slide;inflatable;kids;birthday;backyard;public-event-ready;tssa;dry;jungle;popular,4.0,,2.0
Big Splash 18',"Ideal for high-attendance summer events, this massive water slide features professional safety standards and dual functionality for maximum rider entertainment.",650,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/20250830-103840.webp,slide;inflatable;kids;birthday;backyard;wet;summer;dual-lane;ocean,4.0,,2.0
Dino Slide Dry Only,"""Ideal for any event, the Dino Slide offers safe, budget-friendly fun. Suitable for ages 4 to adult, accommodating 1-2 riders.""",325,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/dinoslide-1770670513794.webp,slide;inflatable;kids;birthday;backyard;dry;dinosaur,4.0,,2.0
The Big Dual Wet Slide,Giant water bucket dump alternative to traditional dunk tanks. Hit the target and dump a massive bucket of water on the volunteer!,650,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/20250830-103823.webp,slide;inflatable;kids;birthday;backyard;wet;summer;dual-lane,5.0,,
Wet/Dry Double Lane Caution Slide/Climbing Wall,"Ideal for high-energy events, this professional-grade inflatable features a challenging climbing wall and slick slide for safe, dry only excitement.",550,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/caution-climbingwall.webp,slide;inflatable;kids;birthday;backyard;wet;dry;dual-lane;construction,4.0,,3.0
Wave Rider Slide,"Perfect for large high-energy events, this professional dry slide offers TSSA certified safety for riders of all ages seeking thrills.",700,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/wave-rider-slide-1770748211399.jpeg,slide;inflatable;kids;birthday;backyard;public-event-ready;tssa;dry;ocean,4.0,,2.0
16 ft Single Lane,"Perfect for space-conscious events, this TSSA-certified unit provides high-speed thrills with professional safety standards for riders from toddlers to adults.",565,Slides,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/16-foot-slide.webp,slide;inflatable;kids;birthday;backyard;public-event-ready;tssa;single-lane,4.0,,
40 Foot Caustic Obstacle,"Extended 40-foot obstacle course with caution-stripe theming. Multi-lane design maximizes throughput for festivals, corporate events, and school carnivals.",Choose A TSSA Licensed Item,Obstacle Courses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/30ftobstacle.webp,obstacle-course;inflatable;active;kids;teens;school;church;corporate;community-event;public-event-ready;tssa;high-throughput;large-event-friendly;construction;popular,4.0,,8.0
Jurassic Obstacle,"Ideal for family events, the Jurassic Obstacle delivers thrilling adventure, ensuring safe, active fun with strict TSSA compliance at all times.",Choose A TSSA Licensed Item,Obstacle Courses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/jurassiccombo-1770670313257.webp,obstacle-course;inflatable;active;kids;teens;school;church;corporate;community-event;public-event-ready;tssa;high-throughput;large-event-friendly;dinosaur;popular,,,
Tropical Obstacle Course,"Ideal for energizing events, the Tropical Obstacle Course thrills participants while ensuring safety with TSSA certification, making it a reliable choice.",740,Obstacle Courses,https://uwturvvpjzvgelxiaphy.supabase.co/storage/v1/object/public/inventory-images/uncategorized/tropical.webp,obstacle-course;inflatable;active;kids;teens;school;church;corporate;community-event;public-event-ready;tssa;high-throughput;large-event-friendly;popular,,,
