name,description,price,category,tags,age_min,age_max,capacity,image_url,page_url
Bounce Castle (15x15),Classic bounce house perfect for birthday parties. Safe enclosed netting on all sides.,199,Inflatables,tssa,3,12,8,,
Dual Lane Water Slide,Two-lane racing water slide — a summer party favourite. Requires garden hose connection.,349,Water,tssa,5,15,6,,
Obstacle Course (40ft),Inflatable obstacle course with crawl tunnels and climbing walls. Great for mixed ages.,449,Inflatables,tssa,5,99,15,,
Toddler Soft Play Set,Padded soft-play shapes, slide, and ball pit for the littlest guests.,149,Toddler,,1,4,12,,
Cotton Candy Machine,Commercial-grade cotton candy machine. Includes 50 servings of sugar.,75,Concessions,,3,99,50,,
Popcorn Machine,Classic popcorn cart with warming lamp. Includes 50 servings.,65,Concessions,,3,99,50,,
Snow Cone Machine,Shaved ice machine with 6 flavour syrups. Includes 50 cups.,65,Concessions,,3,99,50,,
6ft Round Table (each),Heavy-duty plastic folding table seats 8 comfortably.,12,Furniture,,1,99,8,,
White Folding Chair (each),Standard white resin folding chair.,2,Furniture,,1,99,1,,
10x10 Pop-Up Tent,White frame tent with sidewalls. Perfect for shade or vendor booths.,85,Tents,,1,99,20,,
20x20 Frame Tent,Large event tent with steel frame. Includes setup and takedown.,450,Tents,,1,99,80,,
Dunk Tank,500-gallon dunk tank. Adult supervision required. Delivery and fill included.,275,Games,tssa,6,99,1,,
Giant Jenga,Oversized wooden Jenga set — blocks up to 2ft tall when stacked.,55,Games,,5,99,6,,
Photo Booth Package,Open-air photo booth with ring light backdrop and prop box. 3-hour rental.,299,Entertainment,,3,99,50,,
Face Painting Kit,Professional face painting kit with non-toxic paints. Artist not included.,45,Party Supplies,,2,99,99,,
